Document_ID1	Document_ID2	Similarity
11058	13082	0.7891
11067	11317	0.7074
11067	11318	0.7121
11067	12636	0.7418
11078	11474	0.7642
11083	11091	0.7273
11106	14915	0.9010
11125	11134	0.9064
11125	14873	0.8523
11126	11293	0.7109
11134	14873	0.9301
11158	11159	0.7146
11195	11249	0.7132
11195	11293	0.7200
11195	12637	0.7062
11196	11293	0.7335
11196	12636	0.7033
11207	11214	0.7459
11239	12636	0.7118
11248	12636	0.7295
11249	11293	0.7108
11249	12637	0.7138
11253	12636	0.7255
11282	11293	0.7214
11282	11317	0.7123
11282	11318	0.7085
11282	12636	0.7571
11282	12637	0.7046
11293	11312	0.7062
11293	11317	0.7402
11293	11318	0.7279
11293	12636	0.7299
11293	12637	0.7446
11303	11311	0.9197
11304	11309	0.7990
11311	11318	0.7048
11311	12636	0.7025
11312	11317	0.9258
11312	11318	0.8917
11312	12636	0.7649
11312	12637	0.7081
11317	11318	0.9575
11317	12636	0.7706
11317	12637	0.7380
11318	12636	0.7782
11318	12637	0.7335
11318	14697	0.7011
11333	11334	0.7862
11345	11383	0.9959
11441	14887	0.8112
11465	11466	0.7430
11465	11475	0.7087
11466	11475	0.7108
11466	11485	0.7156
11466	11488	0.7403
11466	11491	0.7361
11471	11476	0.8080
11471	11478	0.7800
11476	11478	0.8543
11476	11487	0.7595
11478	11487	0.8389
11485	11491	0.7059
11485	11492	0.8355
11488	11491	0.7507
11488	11492	0.7104
11491	11492	0.7086
11533	11536	0.7196
11552	11591	0.7079
11552	14933	0.7548
11556	13949	0.7349
11660	11752	0.8104
11749	14978	0.7074
11817	12024	1.0000
11888	11907	0.7099
12009	14957	0.7092
12027	12052	0.7034
12194	15046	0.7373
12201	12247	0.8304
12201	12249	0.7126
12208	12225	0.8434
12232	12233	0.7305
12269	12281	0.7041
12298	12319	0.7638
12298	15057	0.7075
12299	15051	0.7035
12301	12318	0.8277
12351	12524	0.7209
12418	15093	0.7363
12542	15111	0.7111
12567	12579	0.7035
12636	12637	0.7591
12636	14894	0.7111
12683	15131	0.7147
12712	15152	0.7275
12794	12804	0.7002
12834	12843	0.7513
12837	14070	0.7288
12867	12876	0.7478
13103	13106	0.7623
13361	15253	0.7985
13382	13385	0.7075
13382	13390	0.7291
13382	13396	0.7363
13385	13390	0.7237
13385	13396	0.7138
13385	15230	0.8030
13390	13396	0.7279
13390	15230	0.7030
13390	15233	0.7377
13396	13397	0.7290
13396	13398	0.7222
13396	15230	0.7133
13396	15233	0.7704
13446	13461	0.7123
13472	13503	0.7283
13792	13795	0.7018
13841	13850	0.7165
13981	13984	0.8092
13982	13983	0.8091
14002	14853	0.7184
14070	14698	0.7185
14117	14314	0.7039
14242	14245	1.0000
14259	14871	0.7252
14537	14545	0.7194
14636	14637	0.8084
14701	14704	0.7190
14702	14707	0.9609
15045	15046	0.7944
15144	15145	0.8828
15310	15312	1.0000
